Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      964     0.00     0.00  std::multimap<sc_core::sc_time const, tlm::tlm_generic_payload*, std::less<sc_core::sc_time const>, std::allocator<std::pair<sc_core::sc_time const, tlm::tlm_generic_payload*> > >::empty() const
  0.00      0.00     0.00      931     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      900     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> >*)
  0.00      0.00     0.00      866     0.00     0.00  sc_core::sc_time::operator+=(sc_core::sc_time const&)
  0.00      0.00     0.00      865     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > >::_M_end()
  0.00      0.00     0.00      834     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >::operator->() const
  0.00      0.00     0.00      834     0.00     0.00  std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >::operator==(std::_Rb_tree_iterator<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> > const&) const
  0.00      0.00     0.00      806     0.00     0.00  sc_core::sc_object::simcontext() const
  0.00      0.00     0.00      771     0.00     0.00  report::print(tlm::tlm_sync_enum)
  0.00      0.00     0.00      770     0.00     0.00  sc_core::operator+(sc_core::sc_time const&, sc_core::sc_time const&)
  0.00      0.00     0.00      770     0.00     0.00  sc_core::sc_fifo<tlm::tlm_generic_payload*>::num_available() const
  0.00      0.00     0.00      737     0.00     0.00  std::setw(int)
  0.00      0.00     0.00      737     0.00     0.00  std::_Setfill<char> std::setfill<char>(char)
  0.00      0.00     0.00      706     0.00     0.00  std::_Select1st<std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> >::operator()(std::pair<tlm::tlm_generic_payload* const, select_initiator::previous_phase_enum> const&) const
  0.00      0.00     0.00      706     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_M_end()
  0.00      0.00     0.00      701     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_S_key(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > const*)
  0.00      0.00     0.00      701     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > >::_S_value(std::_Rb_tree_node<std::pair<tlm::tlm_generic_payload* const, SimpleBusAT<2, 3>::ConnectionInfo> > const*)
  0.00      0.00     0.00      675     0.00     0.00  std::_Rb_tree<tlm::tlm_generic_payload*, std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*>, std::_Select1st<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> >, std::less<tlm::tlm_generic_payload*>, std::allocator<std::pair<tlm::tlm_generic_payload* const, sc_core::sc_event*> > >::end()
  0.00      0.00     0.00      641     0.00     0.00  tlm::tlm_phase::tlm_phase(tlm::tlm_phase_enum)
