Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      921     0.00     0.00  sc_core::sc_signal_t<pkt, (sc_core::sc_writer_policy)0>::read() const
  0.00      0.00     0.00      921     0.00     0.00  sc_core::sc_in<pkt>::read() const
  0.00      0.00     0.00      917     0.00     0.00  sc_core::sc_process_handle::operator sc_core::sc_process_b*()
  0.00      0.00     0.00      907     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<bool> >::operator->()
  0.00      0.00     0.00      907     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_in_if<bool> >::operator->() const
  0.00      0.00     0.00      824     0.00     0.00  sc_core::sc_module::wait()
  0.00      0.00     0.00      630     0.00     0.00  sc_core::sc_out<bool>::operator=(bool const&)
  0.00      0.00     0.00      630     0.00     0.00  sc_core::sc_port_b<sc_core::sc_signal_inout_if<bool> >::operator->()
  0.00      0.00     0.00      500     0.00     0.00  sc_core::sc_in<bool>::operator bool const&() const
  0.00      0.00     0.00      407     0.00     0.00  sc_core::sc_in<bool>::event() const
  0.00      0.00     0.00      338     0.00     0.00  sc_dt::sc_uint_base::operator=(int)
  0.00      0.00     0.00      326     0.00     0.00  sc_dt::sc_int_base::extend_sign()
  0.00      0.00     0.00      326     0.00     0.00  sc_dt::sc_int_base::operator=(int)
  0.00      0.00     0.00      325     0.00     0.00  sc_core::sc_module::wait(int)
  0.00      0.00     0.00      322     0.00     0.00  sc_dt::sc_int<8>::operator=(int)
  0.00      0.00     0.00      322     0.00     0.00  sc_dt::sc_uint<4>::operator=(int)
  0.00      0.00     0.00       52     0.00     0.00  sc_core::sc_process_handle::~sc_process_handle()
  0.00      0.00     0.00       48     0.00     0.00  std::vector<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> >::size() const
  0.00      0.00     0.00       48     0.00     0.00  std::vector<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> >::size() const
  0.00      0.00     0.00       48     0.00     0.00  std::vector<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> >::size() const
  0.00      0.00     0.00       48     0.00     0.00  std::__niter_base<sc_core::sc_signal_in_if<pkt>**, false>::__b(sc_core::sc_signal_in_if<pkt>**)
  0.00      0.00     0.00       48     0.00     0.00  std::__niter_base<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, false>::__b(sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**)
  0.00      0.00     0.00       48     0.00     0.00  std::__niter_base<sc_core::sc_signal_inout_if<pkt>**, false>::__b(sc_core::sc_signal_inout_if<pkt>**)
  0.00      0.00     0.00       40     0.00     0.00  sc_dt::sc_int_base::sc_int_base(sc_dt::sc_int_base const&)
  0.00      0.00     0.00       36     0.00     0.00  sc_core::sc_process_b::reference_decrement()
  0.00      0.00     0.00       36     0.00     0.00  std::vector<sc_core::sc_signal_in_if<bool>*, std::allocator<sc_core::sc_signal_in_if<bool>*> >::size() const
  0.00      0.00     0.00       36     0.00     0.00  std::__niter_base<sc_core::sc_signal_in_if<bool>**, false>::__b(sc_core::sc_signal_in_if<bool>**)
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_in_if<pkt>**, std::vector<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> > >::base() const
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >**, std::vector<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> > >::base() const
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_signal_inout_if<pkt>**, std::vector<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> > >::base() const
  0.00      0.00     0.00       32     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<pkt>*, std::allocator<sc_core::sc_signal_in_if<pkt>*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       32     0.00     0.00  std::_Vector_base<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*, std::allocator<sc_core::sc_signal_in_if<sc_dt::sc_int<4> >*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       32     0.00     0.00  std::_Vector_base<sc_core::sc_signal_inout_if<pkt>*, std::allocator<sc_core::sc_signal_inout_if<pkt>*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       32     0.00     0.00  std::__miter_base<sc_core::sc_signal_in_if<pkt>**, false>::__b(sc_core::sc_signal_in_if<pkt>**)
